Ítem,Cantidad,Unidad,TAG,Descripción,"Código de
Catálogo
ECOPETROL"
1. Paquete de inyección de químicos,,,,,
1.1,(1),UN,"M156CIP-
5503","Planeación y programación de fabricación, diseño,
suministro de partes y materiales, fabricación en
taller, pruebas, inspección, pintura, control y
aseguramiento de calidad, entrega de
documentación técnica y certificados, embalaje,
almacenamiento y envío, partes de repuesto para
la instalación, garantías y demás incluido e
indicado en esta requisición y los documentos
anexos.
El PAQUETE de Inyección de químicos incluye
como mínimo:
- Cuatro (4) bombas de inyección de químicos
API STD 675, cada una con motor eléctrico
acoplado.
- Uno (1) tanque IBC bulkdrum en acero
inoxidable.
- Tablero de control
- Monitor de control remoto
- Válvulas de seguridad
- Instrumentación
- Tubería, válvulas y accesorios de tubería y
soportes al interior del PAQUETE
- Conexionado de tubería, eléctrico y de control,
incluyendo Conduit.",
